id,Search Terms
ENST00000261479,ENST00000261479[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000245457,ENST00000245457[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000491895,ENST00000491895[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000280551,ENST00000280551[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000339235,ENST00000339235[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000373464,ENST00000373464[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000521913,ENST00000521913[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000587908,ENST00000587908[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000261893,ENST00000261893[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000382120,ENST00000382120[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000550326,ENST00000550326[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000334869,ENST00000334869[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000380118,ENST00000380118[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000371998,ENST00000371998[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000256429,ENST00000256429[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000370747,ENST00000370747[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000257663,ENST00000257663[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000515896,ENST00000515896[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000652648,ENST00000652648[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000296444,ENST00000296444[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000360184,ENST00000360184[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000525445,ENST00000525445[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000340553,ENST00000340553[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000352066,ENST00000352066[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000668981,ENST00000668981[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000370521,ENST00000370521[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000393593,ENST00000393593[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000371199,ENST00000371199[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000357585,ENST00000357585[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000256689,ENST00000256689[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000438257,ENST00000438257[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000369645,ENST00000369645[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000519811,ENST00000519811[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000394650,ENST00000394650[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000368564,ENST00000368564[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000407149,ENST00000407149[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000268154,ENST00000268154[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000261881,ENST00000261881[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000395952,ENST00000395952[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000652332,ENST00000652332[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000304141,ENST00000304141[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000612813,ENST00000612813[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000223145,ENST00000223145[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000340093,ENST00000340093[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
